trial_index,trial_type,ttl_sent_time,stim_played_time,response_time,responded
0,0,5.2900053560733795e-05,0.00017390004359185696,,False
1,0,3.3078047999879345,3.30809780000709,,False
2,0,5.516768399975263,5.5170270999660715,,False
3,0,8.105203300016,8.105621300055645,,False
4,0,10.13778230000753,10.138067599968053,,False
5,0,12.755845500039868,12.75623739999719,,False
6,0,15.402444800012745,15.40265870001167,,False
7,0,17.827855200041085,17.828118000063114,,False
8,0,19.930322700063698,19.931117300060578,,False
9,0,22.098624199978076,22.098944199969992,,False
10,0,24.13912289997097,24.139433400006965,,False
11,0,26.22793259995524,26.228279900038615,,False
12,0,28.858331299968995,28.85860459995456,,False
13,1,30.86137649999,30.861704600043595,,False
14,0,33.7243107999675,33.72465370001737,,False
15,0,35.97346060001291,35.97375780006405,,False
16,0,38.02890220005065,38.02934030001052,,False
17,0,40.06628410005942,40.06652330001816,,False
18,1,42.79771850001998,42.79812559997663,,False
19,0,45.280233500059694,45.28059109998867,,False
20,0,47.895799300051294,47.89614019996952,,False
21,0,50.17747610004153,50.17786910000723,,False
22,0,52.26223250001203,52.26252350001596,,False
23,0,55.25130210001953,55.251461300067604,,False
24,0,57.94807449996006,57.9484938000096,,False
25,0,60.540810300037265,60.54110989999026,,False
26,0,62.75509840005543,62.75561750004999,,False
27,0,65.49857850000262,65.49923680000938,,False
28,0,67.85575540002901,67.85609700006898,,False
29,1,70.3123973000329,70.31281160004437,,False
30,0,72.75582439999562,72.75617369997781,,False
31,1,74.9735662000021,74.9739327999996,,False
32,0,77.5402265000157,77.54054159997031,,False
33,1,80.05496049998328,80.05517730000429,,False
34,0,82.45033210003749,82.4507142000366,,False
35,0,84.51505689998157,84.515458400012,,False
36,1,86.54924039996695,86.54938340000808,,False
37,0,88.74547620001249,88.74580390006304,,False
38,0,91.12932269996963,91.12962230003905,,False
39,0,93.3019838000182,93.30238120001741,,False
40,0,96.02031759999227,96.02054549998138,,False
41,0,98.98361210001167,98.98403160006274,,False
42,1,101.7887474000454,101.78906700003427,,False
43,0,104.66977829998359,104.66997519996949,,False
44,0,106.81565480004065,106.81596889998764,,False
45,0,109.74501419998705,109.74546370003372,,False
46,1,112.04755370004568,112.04780960001517,,False
47,0,114.53151070000604,114.5317716000136,,False
48,0,117.13695459999144,117.13744149997365,,False
49,0,119.36155829997733,119.36183259997051,,False
50,0,122.25700680003501,122.25719839998055,,False
51,0,124.53541170002427,124.53572799998801,,False
52,0,127.10149140004069,127.10172949999105,,False
53,0,129.90268850000575,129.90285209997091,,False
54,1,132.34577370004263,132.34609390003607,,False
55,0,134.42993830004707,134.43039400002453,,False
56,1,137.05463160004,137.05497920000926,,False
57,0,140.01773990003858,140.01813920005225,,False
58,1,142.87571030005347,142.87599179998506,,False
59,0,145.5509052000707,145.55117120000068,,False
60,0,147.92110410006717,147.92143029998988,,False
61,1,150.59216860006563,150.5924833000172,,False
62,0,152.5975097999908,152.59792580001522,,False
63,0,154.950827499968,154.95113319996744,,False
